NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Elyria Swansea,6636.0,5448.0,832.0,228.0,50.0,12.0,0.0,0.0,66.0,82.09764919,12.5376733,3.4358047,0.75346594,0.18083183,0.0,0.0,0.99457505,3525.0,3111.0,397.0,545.0,581.0,339.0,942.0,1109.0,1043.0,865.0,997.0,816.0,552.0,266.0,46.0,1862.0,676.0,28.05907173,10.18685955,32.5,32.3,33.7,6414,1805,74,172,444,396,441,186,92,4609,3048.0,677.0,1364.0,642.0,228.0,137.0,4089.0,1707.0,1115.0,640.0,627.0,6239.0,1766.0,4469.0,1995,1809,186,803,1006,1809,1337,753,584,146,438,472,324,148,114,112,67,132,102,68,69,60,105,179,230,256,144,41,34,96,55587,54453,20304,55587,54453,32055,35875,28846,31585,30327,32083,36458,0,1951.0,28,0,94,138,57,112,83,565,327,591,1016,1172,241700,4216,2420,15,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2405,2405,34,2359,12,0,20.4,21.09199701
Wellshire,3525.0,494.0,2814.0,0.0,0.0,89.0,10.0,0.0,118.0,14.0141844,79.82978723,0.0,0.0,2.5248227,0.28368794,0.0,3.34751773,1695.0,1830.0,228.0,289.0,162.0,217.0,517.0,450.0,245.0,421.0,434.0,441.0,407.0,295.0,315.0,896.0,978.0,25.41843972,27.74468085,42.5,40.8,44.0,3415,905,85,34,261,140,245,50,90,2510,1501.0,325.0,574.0,457.0,64.0,81.0,2440.0,67.0,237.0,376.0,1760.0,3297.0,2922.0,261.0,1433,1341,92,1205,136,1341,1049,868,181,50,131,292,269,23,15,0,35,36,31,27,39,33,57,96,52,145,108,117,92,458,124727,145234,66672,124727,145234,78219,106319,53860,0,37792,39653,96382,122667,1957.0,6,21,34,36,9,226,145,913,38,5,2116,2148,686800,3296,229,79,18,0,8,53,61,47,0,14,0,0,0,0,0,0,0,89,89,2,87,0,0,3.2,2.28789323
University,9905.0,825.0,7990.0,419.0,8.0,503.0,0.0,8.0,152.0,9.52455376,79.17233084,4.58490394,0.11954573,5.08616351,0.0,0.06098491,1.45151732,5189.0,4716.0,393.0,306.0,285.0,150.0,699.0,2236.0,2814.0,1649.0,1003.0,516.0,574.0,281.0,133.0,1134.0,822.0,10.79672059,7.74485982,25.95,27.25,25.8,9569,4241,41,30,252,215,227,2880,596,5328,4919.0,1090.0,2226.0,1148.0,242.0,213.0,5454.0,54.0,347.0,1149.0,3904.0,9512.0,8454.0,332.0,3861,3537,324,1724,1813,3537,1454,1113,341,200,141,2083,1201,882,186,109,100,63,186,215,167,114,69,217,325,265,362,329,374,456,78356,121106,40512,78356,121106,57058,61562,47822,0,0,20866,59050,65888,1953.5,88,7,158,89,119,369,572,888,513,1058,1285,1400,494350,9133,772,241,47,177,17,0,344,312,15,17,0,122,24,0,0,68,0,65,54,7,13,34,11,14.1,5.51531418
Rosedale,2780.0,496.0,2070.0,37.0,8.0,123.0,0.0,0.0,46.0,17.84172662,74.46043165,1.33093525,0.28776978,4.42446043,0.0,0.0,1.65467626,1320.0,1460.0,140.0,83.0,79.0,51.0,223.0,130.0,559.0,606.0,495.0,252.0,259.0,118.0,138.0,353.0,414.0,12.69784173,14.89208633,36.5,36.7,35.8,2728,403,38,56,28,71,51,72,87,2325,1707.0,230.0,867.0,373.0,194.0,43.0,2278.0,82.0,239.0,469.0,1488.0,2640.0,2335.0,174.0,1446,1328,118,712,616,1328,583,466,117,85,32,745,504,241,66,7,7,0,26,81,42,60,26,117,121,170,98,92,268,147,91875,134554,54244,91875,134554,60821,67567,54943,31538,0,39618,67774,65132,1952.0,24,73,57,48,106,106,116,228,279,409,1555,1622,488200,2612,168,44,0,0,0,44,23,15,0,8,0,0,0,0,0,0,0,101,96,52,26,18,5,6.9,1.54373928
Cheesman Park,9309.0,585.0,8023.0,211.0,29.0,141.0,33.0,1.0,286.0,5.95135656,86.01614854,2.59643974,0.41956019,1.82663182,0.28190671,0.00854263,2.89941382,4696.0,4613.0,93.0,255.0,127.0,82.0,348.0,257.0,2593.0,2399.0,919.0,966.0,1067.0,583.0,177.0,557.0,1746.0,5.75363774,20.98259203,35.85,38.3,33.15,9240,1071,72,0,207,95,153,183,361,8169,6053.0,1274.0,2924.0,1308.0,299.0,248.0,8229.0,77.0,510.0,1651.0,5991.0,9216.0,8574.0,233.0,5847,5555,292,1764,3791,5555,1543,1214,329,100,229,4012,2898,1114,357,103,218,73,284,345,305,119,317,468,520,687,416,397,369,577,63532,111091,59513,63532,111091,49642,52392,46988,0,14918,34812,44638,66093,1961.0,160,0,66,216,372,948,1475,469,271,1870,1243,1279,424250,8861,448,123,27,37,18,41,207,41,32,32,102,0,0,0,0,0,18,100,69,49,20,0,31,9.85,1.93312435
Hilltop,9524.0,663.0,7835.0,389.0,48.0,238.0,19.0,33.0,299.0,6.86490524,82.61246418,3.80113978,0.45070423,2.43617584,0.22624434,0.3929507,3.2154157,4326.0,5198.0,800.0,670.0,586.0,268.0,1470.0,956.0,621.0,1349.0,1326.0,1292.0,1213.0,697.0,600.0,2324.0,2380.0,24.84058914,24.80743124,44.4,45.45,43.0,9007,2162,174,130,549,479,354,264,212,6845,3878.0,919.0,1718.0,908.0,158.0,175.0,6825.0,151.0,398.0,804.0,5472.0,8724.0,7832.0,270.0,4110,3891,219,2880,1011,3891,2500,2224,276,59,217,1391,1139,252,73,61,82,96,96,38,180,23,117,110,326,263,274,341,475,1336,160478,200261,93334,160478,200261,81758,109818,61782,0,33416,27332,82777,96160,1960.5,176,45,475,244,122,463,470,1127,505,483,1903,2129,840050,8865,659,330,74,60,46,150,100,81,19,0,0,94,0,0,4,0,15,120,58,5,0,53,62,4.05,2.71437968
Montclair,5739.0,477.0,4796.0,167.0,19.0,71.0,0.0,0.0,209.0,8.31155254,83.56856595,2.90991462,0.33106813,1.23714933,0.0,0.0,3.64174943,2760.0,2979.0,285.0,369.0,208.0,97.0,654.0,306.0,812.0,1325.0,882.0,724.0,540.0,396.0,100.0,959.0,1075.0,16.71022826,18.73148632,38.5,38.5,38.6,5572,1165,134,133,222,176,111,181,208,4407,3348.0,455.0,1626.0,990.0,191.0,86.0,4644.0,73.0,294.0,942.0,3335.0,5454.0,4807.0,206.0,2909,2823,86,2070,753,2823,1162,1019,143,36,107,1661,1231,430,39,0,78,45,137,54,72,32,31,324,239,415,406,251,244,456,93661,134471,65685,93661,134471,59328,73000,57951,0,40833,43718,71058,76719,1950.0,47,34,64,122,91,160,133,816,1023,419,1527,1551,463300,5263,476,216,0,18,0,198,119,58,34,27,0,12,12,0,0,0,19,110,57,0,14,43,53,2.7,0.0
Hale,7748.0,908.0,6027.0,271.0,15.0,155.0,83.0,17.0,272.0,11.54043761,79.35699064,3.34452526,0.14746363,1.5237908,0.8159654,0.16712544,3.10370124,3803.0,3945.0,569.0,220.0,270.0,111.0,789.0,410.0,1220.0,1860.0,1125.0,1077.0,647.0,417.0,203.0,1170.0,1209.0,16.09451913,15.80652743,37.15,37.35,37.4,7377,1201,166,65,164,225,152,231,198,6176,4499.0,978.0,2279.0,794.0,191.0,257.0,6233.0,278.0,433.0,1505.0,4017.0,7179.0,6460.0,306.0,4718,4222,496,1924,2298,4222,1544,1206,338,102,236,2678,2064,614,285,239,150,184,242,267,134,114,171,191,447,429,327,393,283,366,74367,110454,54320,74367,110454,54404,57560,49901,0,0,37152,58600,67989,1955.0,415,39,50,141,271,457,800,801,837,907,1244,1299,487400,7145,603,144,29,22,14,79,186,72,45,15,30,0,0,0,0,0,59,214,202,0,183,19,12,8.1,5.56006835
North Park Hill,10351.0,1035.0,5776.0,2829.0,0.0,143.0,42.0,117.0,409.0,10.09512093,55.35890432,27.60305754,0.0,1.3646716,0.37546934,1.15577126,4.04700503,4788.0,5563.0,667.0,567.0,582.0,359.0,1234.0,1092.0,867.0,2381.0,1962.0,862.0,985.0,727.0,241.0,2175.0,1942.0,20.7288531,18.69138952,37.85,37.25,39.05,9778,2049,92,224,395,431,442,239,226,7729,5624.0,687.0,3134.0,1192.0,335.0,276.0,7750.0,450.0,883.0,1587.0,4830.0,9684.0,9101.0,345.0,4272,4171,101,3666,505,4171,2679,2018,661,111,550,1492,973,519,70,74,35,81,151,93,64,110,111,309,231,512,477,369,578,906,110926,137144,55981,110926,137144,66088,85200,57337,0,59166,48112,69878,93006,975.0,0,0,89,45,51,63,210,1169,1317,1328,1490,1605,430250,9990,361,0,0,0,0,0,160,42,8,97,13,16,16,0,0,0,0,185,142,7,121,14,43,4.35,1.14217855
South Park Hill,9546.0,673.0,7497.0,820.0,36.0,289.0,0.0,0.0,231.0,6.99120893,78.42252767,8.7573062,0.37057767,3.06163267,0.0,0.0,2.39674687,4565.0,4981.0,698.0,644.0,518.0,271.0,1342.0,1115.0,819.0,1496.0,1433.0,1253.0,1260.0,603.0,225.0,2131.0,2013.0,22.169919,21.23407253,40.05,41.45,38.55,9150,2486,241,158,471,402,399,612,203,6664,4329.0,827.0,2069.0,958.0,265.0,210.0,6626.0,173.0,510.0,1000.0,4943.0,8848.0,8098.0,306.0,3765,3602,163,2940,662,3602,2436,2109,327,100,227,1166,881,285,93,32,57,70,69,103,83,33,38,131,272,357,461,384,467,952,124153,154375,67968,124153,154375,63306,76814,59552,26172,25271,44954,76046,84375,0.0,0,46,58,63,18,102,55,274,561,2588,1237,1302,628650,8849,697,121,55,16,0,50,196,50,60,10,76,49,7,18,8,10,84,247,139,17,59,63,108,5.9,3.53062238
Central Park,26922.0,2604.0,19683.0,1721.0,190.0,1388.0,19.0,58.0,1259.0,9.67037415,73.10815356,6.39311099,0.70133703,5.16319194,0.07115039,0.21370671,4.67897523,12939.0,13983.0,2634.0,2795.0,2191.0,751.0,5429.0,3052.0,2204.0,5939.0,5281.0,2659.0,1257.0,905.0,196.0,8371.0,2342.0,31.08116029,8.71595831,35.3,34.9,35.6,25330,7487,927,584,2160,1838,924,449,605,17843,11153.0,1835.0,4726.0,3283.0,957.0,352.0,17973.0,567.0,1871.0,2818.0,12717.0,24288.0,21120.0,1230.0,9187,9021,166,6612,2409,9021,6346,5329,1017,381,636,2675,2118,557,238,111,161,67,178,126,179,199,154,549,317,863,991,957,1435,2496,136174,160097,54452,136174,160097,79846,98674,58792,5078,25424,47311,76106,104114,2009.5,2476,1924,4433,239,64,0,9,28,0,14,1716,1868,588400,24877,2045,394,126,70,14,184,885,532,72,247,34,303,141,20,70,0,2,461,405,57,218,130,56,3.65,1.63468798
Montbello,37060.0,23771.0,3392.0,7468.0,149.0,932.0,148.0,152.0,1048.0,64.65214,9.4681963,19.43616527,0.38692242,2.43536268,0.45268245,0.4474665,2.72106438,19031.0,18029.0,2579.0,3443.0,3702.0,2157.0,6022.0,7040.0,5703.0,5419.0,4978.0,3787.0,2668.0,1063.0,380.0,11881.0,3381.0,32.18357657,9.22249501,25.37142857,24.54285714,26.21428571,35455,11358,397,511,2892,2966,2652,1739,201,24097,16327.0,2663.0,6528.0,3986.0,1407.0,1743.0,21371.0,7395.0,6288.0,5149.0,2539.0,34481.0,13887.0,19343.0,9565,9374,191,5954,3420,9374,7655,4783,2872,955,1917,1719,1475,244,408,363,346,352,423,545,553,336,397,938,874,1538,1061,620,459,161,53447,54628,17398,53447,54628,27804,32336,23203,28011,27830,29572,30623,24726,1696.14285714,48,0,889,1693,1651,3559,1397,267,30,31,1029,1210,208886,26061,10999,125,0,81,13,31,749,24,53,672,0,361,177,0,0,91,0,9764,9764,125,9483,156,0,13.62857143,13.17806889
Lowry Field,8976.0,1206.0,6419.0,468.0,135.0,552.0,0.0,0.0,196.0,13.43582888,71.51292335,5.21390374,1.5040107,6.14973262,0.0,0.0,2.18360071,3885.0,5091.0,387.0,632.0,662.0,241.0,1019.0,1076.0,1261.0,1345.0,1273.0,1158.0,983.0,638.0,223.0,1922.0,1664.0,21.41265597,18.53832442,37.7,37.8,37.5,8779,2316,161,87,490,620,361,247,350,6463,4381.0,793.0,1831.0,1274.0,276.0,207.0,6437.0,255.0,521.0,947.0,4714.0,8589.0,7328.0,562.0,4188,3999,189,2175,1824,3999,2179,1770,409,103,306,1820,1497,323,173,86,76,166,139,206,55,235,197,192,180,472,372,154,404,892,85871,152064,60497,85871,152064,60037,72422,51051,22865,41838,56017,50134,97917,2002.0,0,261,2343,809,70,153,44,156,147,205,1367,1460,582600,7799,1177,413,187,134,18,74,171,65,14,15,77,114,43,0,0,0,0,479,352,12,159,181,127,7.4,5.04818724
West Colfax,9315.0,4581.0,3741.0,539.0,34.0,142.0,14.0,20.0,244.0,49.12787457,40.25461046,5.79791452,0.37056316,1.51016155,0.14586372,0.20837675,2.58463529,4823.0,4492.0,655.0,368.0,520.0,182.0,1023.0,883.0,2076.0,2002.0,978.0,824.0,719.0,568.0,242.0,1725.0,1580.0,18.46609246,17.18257291,33.5,32.7,33.95,8864,1860,171,97,310,388,326,370,198,7004,4529.0,837.0,2030.0,931.0,458.0,273.0,6673.0,1041.0,1604.0,1373.0,2655.0,8660.0,6565.0,1777.0,4839,4215,624,1103,3112,4215,1665,900,765,194,571,2550,1932,618,495,410,269,118,317,157,191,157,62,331,412,395,220,198,265,218,44572,58554,32416,44572,58554,38898,43731,31748,19788,26478,24376,56616,69944,1963.0,455,171,167,125,266,592,924,651,496,992,1023,1080,486100,8277,1038,64,23,7,9,25,140,31,17,92,0,26,0,26,0,0,0,808,808,30,757,21,0,22.9,22.45861491
West Highland,9252.0,1237.0,7339.0,144.0,26.0,251.0,40.0,0.0,215.0,13.37112362,79.31052878,1.5614518,0.28340964,2.71375767,0.42872454,0.0,2.33100395,4471.0,4781.0,603.0,481.0,249.0,165.0,1084.0,505.0,1325.0,2205.0,1559.0,970.0,899.0,459.0,246.0,1498.0,1412.0,16.17474801,15.26866435,37.3,35.0,39.05,8830,1517,188,106,308,197,248,299,171,7313,5191.0,699.0,2356.0,1528.0,404.0,204.0,7305.0,165.0,768.0,1489.0,4883.0,8649.0,8035.0,327.0,4773,4333,440,3038,1295,4333,1993,1554,439,116,323,2340,1596,744,130,101,114,114,102,91,58,187,121,314,285,485,361,460,616,794,104564,139352,68631,104564,139352,64894,71865,63892,0,20834,60826,65964,76627,976.5,204,123,344,256,71,203,132,526,348,2566,1249,1320,545650,8836,416,102,71,9,14,8,159,135,14,10,0,20,0,0,0,2,0,135,54,2,52,0,81,8.8,5.70417968
Sloan Lake,8189.0,1795.0,5618.0,389.0,43.0,175.0,7.0,0.0,162.0,20.16276212,71.07350963,5.07541397,0.35797536,1.69014449,0.16032982,0.0,1.47986462,4186.0,4003.0,610.0,346.0,282.0,156.0,956.0,567.0,1167.0,1867.0,1378.0,692.0,752.0,454.0,356.0,1394.0,1471.0,16.38705622,18.28189752,37.75,36.8,38.5,7834,1378,204,101,264,145,255,202,207,6456,4246.0,612.0,1922.0,942.0,482.0,288.0,6300.0,680.0,560.0,1173.0,3887.0,7579.0,6524.0,758.0,4061,3790,271,2177,1613,3790,1876,1319,557,81,476,1914,1263,651,408,294,172,118,56,26,112,79,53,188,151,401,315,196,574,647,97155,140782,59222,97155,140782,64266,75902,58964,0,12528,54264,69442,80680,1950.5,163,117,116,108,188,529,222,632,708,1278,1282,1298,588100,7710,479,74,45,14,0,15,198,55,14,106,23,0,0,0,0,0,0,207,199,5,180,14,8,13.5,11.57335114
Berkeley,9360.0,2121.0,6788.0,73.0,12.0,139.0,0.0,9.0,218.0,22.97902905,71.55385176,1.01072646,0.17187052,1.4221195,0.0,0.12890289,2.7334998,4470.0,4890.0,679.0,322.0,273.0,214.0,1001.0,520.0,1165.0,2392.0,1593.0,1057.0,950.0,441.0,241.0,1488.0,1530.0,15.8453261,15.69245631,37.8,38.2,37.6,8869,1609,143,45,303,213,236,352,317,7260,4940.0,885.0,2172.0,1314.0,445.0,124.0,7558.0,533.0,934.0,1310.0,4781.0,8681.0,7430.0,1055.0,4549,4411,138,3104,1307,4411,2266,1880,386,118,268,2145,1554,591,331,65,90,227,88,200,81,75,84,183,388,482,370,376,683,688,97992,137818,57616,97992,137818,62826,68456,60304,24470,29828,50161,71792,77288,971.0,346,118,407,60,56,151,110,608,353,2340,1456,1588,488000,8671,689,142,44,7,55,36,115,27,12,50,26,20,6,0,14,0,28,384,335,0,335,0,49,7.55,3.9556962
Regis,4868.0,1508.0,3108.0,57.0,8.0,82.0,0.0,0.0,105.0,30.9778143,63.84552177,1.17091208,0.16433854,1.68447001,0.0,0.0,2.1569433,2169.0,2699.0,188.0,268.0,301.0,102.0,456.0,1026.0,922.0,678.0,613.0,437.0,361.0,306.0,69.0,859.0,670.0,17.64585045,13.76335251,30.4,30.2,30.7,4719,1836,48,52,219,243,195,982,97,2883,2210.0,425.0,945.0,619.0,157.0,64.0,2991.0,357.0,674.0,677.0,1283.0,4680.0,4063.0,521.0,1727,1649,78,1078,571,1649,879,631,248,65,183,770,555,215,125,87,97,19,20,34,64,85,67,124,171,256,135,92,176,97,70900,82750,30207,70900,82750,47360,54091,42500,0,33582,40060,67739,65694,0.0,25,6,26,31,62,120,120,356,76,905,994,1221,386600,4613,255,65,15,12,19,19,60,28,6,26,0,0,0,0,0,0,0,130,114,0,114,0,16,16.0,10.01137656
Lincoln Park,6916.0,3062.0,2657.0,876.0,33.0,127.0,0.0,24.0,137.0,44.30938903,38.14862347,12.9224242,0.48656283,1.83403068,0.0,0.33613445,1.96283534,3555.0,3361.0,422.0,461.0,420.0,61.0,883.0,630.0,1624.0,1538.0,745.0,586.0,577.0,250.0,83.0,1364.0,611.0,19.88654876,8.79932726,31.45,31.8,31.05,6709,1563,181,52,442,258,120,336,174,5146,3126.0,914.0,962.0,853.0,230.0,167.0,4773.0,1024.0,888.0,1026.0,1835.0,6494.0,4387.0,1578.0,3156,3023,133,946,2077,3023,1096,615,481,186,295,1927,1330,597,474,311,190,180,94,192,65,82,52,195,273,252,252,106,160,145,38888,42902,29372,38888,42902,36841,46879,35870,22922,24735,13390,59086,58784,1972.5,123,369,89,124,821,190,238,93,3,1106,904,977,322850,5743,1173,47,14,0,24,9,103,73,22,0,8,368,247,90,0,31,10,645,639,0,625,14,6,35.4,27.92447989
City Park West,5339.0,731.0,3648.0,571.0,6.0,162.0,0.0,34.0,187.0,15.60914353,64.98521184,12.3077821,0.13872798,2.30998679,0.0,0.93818985,3.71095792,2674.0,2665.0,193.0,223.0,108.0,26.0,416.0,146.0,1379.0,1368.0,646.0,406.0,582.0,276.0,120.0,550.0,832.0,12.54677727,15.00150057,33.45,32.7,34.0,5176,779,0,89,124,58,33,226,249,4397,2942.0,814.0,1220.0,699.0,123.0,86.0,4500.0,365.0,590.0,815.0,2730.0,5146.0,4694.0,315.0,3132,2795,337,836,1959,2795,749,539,210,26,184,2046,1484,562,365,159,132,127,132,119,59,54,124,206,161,324,180,149,203,301,60514,110461,45347,60514,110461,47906,51381,44646,12250,23211,31350,54208,66653,981.0,161,0,339,101,249,251,353,138,163,1377,913,964,571500,5010,329,40,0,16,0,24,107,85,0,1,21,25,25,0,0,0,0,157,157,0,157,0,0,14.4,4.51637776
Whittier,5528.0,1044.0,2950.0,1222.0,35.0,93.0,0.0,0.0,184.0,18.88567294,53.36468886,22.10564399,0.63314038,1.68234443,0.0,0.0,3.32850941,2319.0,3209.0,354.0,411.0,313.0,212.0,765.0,692.0,706.0,1376.0,1061.0,312.0,374.0,137.0,105.0,1290.0,469.0,23.3357453,8.48408104,33.4,34.5,32.6,5329,1284,100,74,290,255,382,65,118,4045,2969.0,610.0,1348.0,731.0,201.0,79.0,4002.0,332.0,547.0,809.0,2314.0,5174.0,4517.0,613.0,2299,2243,56,1285,958,2243,1146,765,381,17,364,1097,640,457,149,85,44,34,19,40,93,92,121,64,172,314,245,156,361,254,92850,98780,45034,92850,98780,56173,64153,48528,0,37669,40625,70876,72415,0.0,0,55,90,59,9,130,237,272,83,1364,984,1171,474200,5382,146,22,0,16,6,0,39,39,0,0,0,0,0,0,0,0,0,85,85,0,85,0,0,11.2,6.10820244
Skyland,3530.0,317.0,1868.0,1187.0,0.0,0.0,0.0,0.0,158.0,8.98016997,52.91784703,33.62606232,0.0,0.0,0.0,0.0,4.47592068,1705.0,1825.0,436.0,88.0,97.0,37.0,524.0,149.0,399.0,1052.0,377.0,372.0,363.0,103.0,191.0,658.0,453.0,18.64022663,12.83286119,36.0,35.3,36.5,3231,512,123,36,37,112,37,98,69,2719,1813.0,258.0,930.0,426.0,85.0,114.0,2749.0,158.0,389.0,684.0,1518.0,3094.0,2850.0,232.0,1569,1496,73,1136,360,1496,974,582,392,156,236,522,404,118,129,20,25,25,26,25,64,49,63,87,144,201,105,133,208,192,79000,100313,48153,79000,100313,54911,63218,52723,20321,45341,45161,83071,71525,1948.0,0,71,17,25,28,76,73,449,243,587,1350,1580,440800,3357,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,173,0,165,8,0,7.7,7.70020534
Cole,4552.0,2119.0,1694.0,629.0,18.0,5.0,0.0,1.0,86.0,46.55096661,37.21441125,13.81810193,0.39543058,0.10984183,0.0,0.02196837,1.88927944,2341.0,2211.0,273.0,312.0,399.0,166.0,585.0,648.0,874.0,1068.0,614.0,292.0,348.0,74.0,49.0,1150.0,394.0,25.26362039,8.65553603,31.5,31.6,31.4,4387,1138,27,109,263,298,253,138,50,3249,2265.0,665.0,712.0,612.0,195.0,81.0,3175.0,709.0,575.0,685.0,1206.0,4279.0,2731.0,1497.0,1913,1753,160,826,927,1753,857,436,421,165,256,896,478,418,99,136,116,84,98,78,89,45,30,97,73,226,195,132,110,145,63250,63083,34628,63250,63083,43969,46685,42969,24398,29018,32813,57143,61477,0.0,9,13,83,30,101,41,57,158,76,1345,1052,1161,382100,3668,884,37,0,21,0,16,6,5,1,0,0,0,0,0,0,0,4,837,837,0,820,17,0,22.1,19.13652275
Marston,12141.0,2287.0,8546.0,85.0,17.0,965.0,0.0,0.0,241.0,18.95970755,69.59524609,0.68307136,0.15971439,8.69901362,0.0,0.0,1.903247,5535.0,6606.0,905.0,642.0,308.0,223.0,1547.0,635.0,2060.0,1812.0,1557.0,1593.0,1690.0,884.0,363.0,2078.0,2718.0,17.088973,22.78412348,40.75,36.5,44.8,11572,2194,158,173,490,275,269,558,271,9378,6931.0,990.0,2430.0,1764.0,1220.0,527.0,9306.0,520.0,1384.0,3298.0,4104.0,11236.0,9116.0,851.0,5836,5771,65,3641,2130,5771,3033,2198,835,238,597,2738,2104,634,230,90,62,297,236,186,202,209,225,571,800,1045,623,247,458,290,68564,81926,40956,68564,81926,47540,57078,43750,34994,39072,43654,57531,56183,1989.5,54,132,768,1761,2198,792,44,59,15,13,1328,1412,345550,10778,1363,437,71,24,33,309,637,171,63,403,0,68,0,26,0,30,0,221,208,0,124,84,13,7.1,4.28061831
Washington Virginia Vale,14793.0,2869.0,8496.0,1913.0,43.0,794.0,0.0,86.0,592.0,17.71622236,61.38980959,11.47850222,0.3566393,4.84923596,0.0,0.69714354,3.51244703,7613.0,7180.0,1098.0,743.0,625.0,316.0,1841.0,1053.0,2981.0,2679.0,2047.0,1549.0,1118.0,881.0,644.0,2782.0,2577.0,16.46848433,18.36252555,36.2,34.46666667,38.43333333,14172,2958,260,119,702,440,337,823,277,11214,7522.0,1371.0,3184.0,2187.0,460.0,320.0,10963.0,792.0,1567.0,3537.0,5067.0,13695.0,10984.0,926.0,7217,6774,443,2783,3991,6774,3158,1921,1237,397,840,3616,2603,1013,343,284,261,514,257,191,558,362,469,462,777,671,508,350,446,321,57669,72720,37361,57669,72720,42061,43676,39857,0,27970,39401,45780,57659,1969.33333333,7,0,229,690,847,2660,1701,1010,43,30,1198,1299,348267,12497,2296,434,68,31,40,295,717,115,320,188,94,592,174,45,30,16,20,533,508,29,429,50,25,13.5,9.28346231
